,Range,Mean_Pitch,Major_or_Minor,Chromatic_Motion,Direction_of_Melodic_Motion,Melodic_Pitch_Variety,Note_Density,Average_Note_Duration,Rhythmic_Variability
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 666.mid",8.0, 54.0, 0.0, 0.0, 0.625, 2.103, 4.0, 0.1849, 0.02777
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 669.mid",9.0, 37.0, 0.0, 0.0, 0.4444, 1.273, 6.014, 0.1302, 0.02726
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 67.mid",13.0, 77.0, 0.0, 0.06849, 0.5192, 3.232, 4.979, 0.1269, 0.02391
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 670.mid",15.0, 74.0, 0.0, 0.08889, 0.5588, 2.824, 2.938, 0.2436, 0.02534
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 671.mid",29.0, 61.0, 0.0, 0.0, 0.3543, 2.99, 8.013, 0.09896, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 672.mid",17.0, 52.0, 0.0, 0.0, 0.6, 3.167, 4.315, 0.08333, 0.02461
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 673.mid",8.0, 48.0, 0.0, 0.08333, 0.6667, 4.3, 1.562, 0.585, 0.02561
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 675.mid",8.0, 47.0, 0.0, 0.07692, 0.5, 2.4, 1.75, 0.4345, 0.03621
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 677.mid",8.0, 71.0, 0.0, 0.1176, 0.5, 1.75, 2.25, 0.25, 0.03006
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 678.mid",12.0, 78.0, 0.0, 0.07692, 0.4615, 4.5, 1.75, 0.5357, 0.03655
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 679.mid",20.0, 46.0, 0.0, 0.0, 0.5333, 2.0, 4.0, 0.2184, 0.02898
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 68.mid",24.0, 63.0, 0.0, 0.1091, 0.5333, 5.111, 3.743, 0.1563, 0.02361
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 680.mid",8.0, 66.0, 0.0, 0.09091, 0.375, 3.571, 3.08, 0.08333, 0.03025
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 682.mid",8.0, 77.0, 0.0, 0.28, 0.4737, 3.7, 3.25, 0.2692, 0.02947
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 684.mid",5.0, 74.0, 0.0, 0.04, 0.4444, 2.136, 3.302, 0.09295, 0.02947
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 686.mid",12.0, 61.0, 0.0, 0.0, 0.25, 1.222, 3.25, 0.1346, 0.03034
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 687.mid",19.0, 45.0, 0.0, 0.0, 0.5, 1.333, 3.25, 0.1346, 0.03034
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 689.mid",8.0, 67.0, 0.0, 0.07407, 0.5, 3.0, 3.518, 0.2083, 0.02538
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 69.mid",5.0, 57.0, 0.0, 0.06667, 0.6, 1.884, 5.085, 0.1067, 0.02729
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 699.mid",2.0, 53.0, 0.0, 0.3043, 0.6364, 2.714, 3.136, 0.1552, 0.02844
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 70.mid",8.0, 57.0, 0.0, 0.125, 0.5, 3.725, 3.839, 0.09963, 0.02986
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 701.mid",8.0, 67.0, 0.0, 0.0, 0.3636, 3.0, 1.601, 0.5268, 0.0403
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 703.mid",4.0, 57.0, 0.0, 0.12, 0.8333, 2.227, 3.552, 0.1662, 0.02541
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 704.mid",9.0, 48.0, 0.0, 0.09091, 0.7778, 4.5, 1.562, 0.64, 0.03525
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 705.mid",9.0, 46.0, 0.0, 0.09091, 0.7778, 4.5, 1.562, 0.64, 0.03525
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 706.mid",9.0, 46.0, 0.0, 0.09091, 0.7778, 4.5, 1.562, 0.64, 0.03525
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 707.mid",17.0, 53.0, 0.0, 0.1818, 0.2778, 4.25, 2.995, 0.3652, 0.03556
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 708.mid",8.0, 44.0, 0.0, 0.2308, 0.6111, 3.05, 3.516, 0.2667, 0.02806
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 709.mid",8.0, 44.0, 0.0, 0.2308, 0.6111, 3.05, 3.516, 0.2667, 0.02806
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 71.mid",8.0, 59.0, 0.0, 0.3019, 0.6829, 4.816, 3.63, 0.1308, 0.02352
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 710.mid",12.0, 49.0, 0.0, 0.04, 0.3478, 3.591, 3.495, 0.24, 0.0349
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 711.mid",14.0, 62.0, 0.0, 0.0, 0.5238, 4.5, 2.865, 0.24, 0.03601
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 712.mid",12.0, 71.0, 0.0, 0.0, 0.5238, 4.885, 4.233, 0.1575, 0.02459
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 713.mid",8.0, 61.0, 0.0, 0.1304, 0.6364, 4.333, 3.125, 0.255, 0.02689
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 714.mid",4.0, 57.0, 0.0, 0.12, 0.8333, 2.227, 3.552, 0.1662, 0.02541
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 715.mid",17.0, 53.0, 0.0, 0.1818, 0.2778, 4.25, 2.995, 0.3652, 0.03556
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 716.mid",8.0, 44.0, 0.0, 0.2308, 0.6111, 3.05, 3.516, 0.2667, 0.02806
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 717.mid",9.0, 61.0, 0.0, 0.3043, 0.3478, 6.188, 3.125, 0.31, 0.03141
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 718.mid",15.0, 41.0, 0.0, 0.02857, 0.6571, 5.714, 4.762, 0.1433, 0.02441
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 72.mid",8.0, 66.0, 0.0, 0.03175, 0.4848, 2.965, 4.268, 0.1869, 0.02517
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 720.mid",12.0, 68.0, 0.0, 0.2188, 0.7188, 4.0, 4.362, 0.1321, 0.02507
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 721.mid",2.0, 49.0, 0.0, 0.4211, 0.6316, 2.941, 2.614, 0.24, 0.03622
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 723.mid",9.0, 63.0, 0.0, 0.0, 0.6667, 4.0, 1.302, 0.768, 0.04939
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 724.mid",8.0, 57.0, 0.0, 0.07407, 0.6087, 5.227, 3.646, 0.24, 0.02898
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 725.mid",12.0, 48.0, 0.0, 0.0, 0.45, 4.5, 2.734, 0.32, 0.02747
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 726.mid",7.0, 51.0, 0.0, 0.0, 0.3333, 3.0, 1.693, 0.5908, 0.04121
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 727.mid",12.0, 54.0, 0.0, 0.08621, 0.6724, 5.755, 7.682, 0.12, 0.02425
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 73.mid",17.0, 60.0, 0.0, 0.0, 0.6197, 5.27, 4.803, 0.105, 0.02322
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 730.mid",10.0, 61.0, 0.0, 0.04545, 0.5, 4.941, 2.995, 0.2139, 0.03545
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 731.mid",12.0, 59.0, 0.0, 0.1333, 0.5, 4.111, 2.09, 0.3734, 0.04343
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 732.mid",11.0, 49.0, 0.0, 0.1176, 0.5, 2.167, 2.362, 0.3633, 0.02577
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 733.mid",9.0, 55.0, 0.0, 0.0, 0.4444, 5.409, 3.646, 0.2057, 0.03488
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 734.mid",14.0, 65.0, 0.0, 0.0, 0.4194, 4.1, 5.026, 0.1453, 0.02463
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 735.mid",15.0, 66.0, 0.0, 0.0, 0.4, 5.467, 2.865, 0.2564, 0.03268
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 736.mid",21.0, 56.0, 0.0, 0.1429, 0.5238, 8.727, 2.865, 0.2509, 0.02743
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 737.mid",3.0, 59.0, 0.0, 0.25, 0.6364, 2.857, 2.214, 0.4094, 0.02724
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 738.mid",12.0, 64.0, 0.0, 0.03333, 0.4444, 3.958, 4.036, 0.2245, 0.02713
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 739.mid",12.0, 56.0, 0.0, 0.4091, 0.5455, 5.077, 2.995, 0.2452, 0.02745
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 74.mid",16.0, 52.0, 0.0, 0.0, 0.6154, 4.383, 4.141, 0.137, 0.02451
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 740.mid",8.0, 51.0, 0.0, 0.0, 0.5556, 3.368, 3.194, 0.1983, 0.02557
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 742.mid",12.0, 68.0, 0.0, 0.2188, 0.7188, 4.0, 4.362, 0.1321, 0.02502
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 744.mid",12.0, 68.0, 0.0, 0.2188, 0.7188, 4.0, 4.362, 0.1321, 0.02502
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 745.mid",2.0, 49.0, 0.0, 0.4211, 0.6316, 2.941, 2.614, 0.24, 0.03622
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 746.mid",6.0, 50.0, 0.0, 0.2759, 0.6957, 4.68, 4.06, 0.1911, 0.02167
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 748.mid",12.0, 55.0, 0.0, 0.0, 0.375, 3.783, 3.776, 0.1986, 0.02791
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 749.mid",13.0, 65.0, 0.0, 0.03704, 0.6296, 4.545, 3.704, 0.1886, 0.02516
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 75.mid",10.0, 61.0, 0.0, 0.0, 0.5882, 1.692, 5.828, 0.09552, 0.01776
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 750.mid",12.0, 55.0, 0.0, 0.1633, 0.6122, 5.432, 6.51, 0.12, 0.02435
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 751.mid",7.0, 51.0, 0.0, 0.0, 0.3333, 3.0, 1.693, 0.5908, 0.04121
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 752.mid",10.0, 67.0, 0.0, 0.2963, 0.5926, 5.053, 3.646, 0.2554, 0.01917
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 754.mid",8.0, 64.0, 0.0, 0.0625, 0.5714, 2.759, 4.365, 0.08727, 0.02442
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 755.mid",15.0, 52.0, 0.0, 0.2857, 0.5455, 2.556, 1.953, 0.512, 0.03755
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 756.mid",12.0, 59.0, 0.0, 0.1333, 0.5, 4.111, 2.09, 0.3734, 0.04334
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 757.mid",11.0, 49.0, 0.0, 0.1176, 0.5, 2.167, 2.362, 0.3633, 0.02577
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 758.mid",14.0, 65.0, 0.0, 0.0, 0.4194, 4.1, 5.026, 0.1453, 0.02463
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 759.mid",15.0, 66.0, 0.0, 0.0, 0.4, 5.467, 2.865, 0.2564, 0.03268
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 76.mid",3.0, 63.0, 0.0, 0.3099, 0.4615, 2.015, 4.828, 0.1355, 0.02399
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 760.mid",3.0, 59.0, 0.0, 0.25, 0.6364, 2.857, 2.214, 0.4094, 0.02724
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 761.mid",3.0, 50.0, 0.0, 0.2105, 0.5, 2.588, 2.604, 0.3585, 0.02561
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 762.mid",16.0, 57.0, 0.0, 0.03226, 0.4516, 3.88, 4.167, 0.24, 0.03485
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 763.mid",15.0, 55.0, 0.0, 0.0, 0.4583, 4.471, 3.255, 0.2976, 0.03491
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 764.mid",7.0, 62.0, 0.0, 0.1304, 0.5294, 4.053, 3.125, 0.285, 0.02083
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 765.mid",9.0, 61.0, 0.0, 0.35, 0.4375, 4.067, 2.778, 0.2286, 0.02658
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 766.mid",15.0, 68.0, 0.0, 0.1905, 0.6154, 7.147, 5.599, 0.1507, 0.02432
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 767.mid",13.0, 55.0, 0.0, 0.0, 0.5926, 4.5, 3.776, 0.2193, 0.02514
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 77.mid",8.0, 55.0, 0.0, 0.0, 0.5, 2.182, 3.401, 0.1192, 0.02411
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 770.mid",4.0, 50.0, 0.0, 0.4444, 0.5217, 4.391, 3.687, 0.1493, 0.0247
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 771.mid",7.0, 89.0, 0.0, 0.2381, 0.5263, 4.118, 2.865, 0.3382, 0.03152
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 772.mid",15.0, 55.0, 0.0, 0.0, 0.4583, 4.471, 3.255, 0.2976, 0.03491
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 773.mid",5.0, 54.0, 0.0, 0.3333, 0.35, 3.0, 2.865, 0.3491, 0.03122
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 774.mid",9.0, 54.0, 0.0, 0.05556, 0.5625, 4.214, 2.474, 0.4042, 0.03705
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 775.mid",5.0, 53.0, 0.0, 0.4444, 0.4762, 2.75, 3.646, 0.2523, 0.02556
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 776.mid",13.0, 65.0, 0.0, 0.03226, 0.5484, 4.462, 4.233, 0.1575, 0.02467
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 777.mid",13.0, 65.0, 0.0, 0.03704, 0.6296, 4.545, 3.704, 0.1886, 0.02516
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 778.mid",6.0, 53.0, 0.0, 0.1481, 0.5833, 4.478, 3.646, 0.1843, 0.03317
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 779.mid",7.0, 63.0, 0.0, 0.0, 0.4667, 3.1, 3.175, 0.19, 0.02837
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 78.mid",24.0, 50.0, 0.0, 0.0, 0.4902, 3.49, 4.802, 0.1066, 0.02525
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 782.mid",5.0, 68.0, 0.0, 0.0, 0.4, 3.0, 2.151, 0.33, 0.03561
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 785.mid",18.0, 60.0, 0.0, 0.1282, 0.5, 3.658, 5.99, 0.1113, 0.02467
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 786.mid",5.0, 55.0, 0.0, 0.6667, 0.8, 4.727, 2.083, 0.42, 0.03965
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 787.mid",12.0, 46.0, 0.0, 0.1364, 0.5, 5.059, 2.995, 0.2609, 0.02603
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 789.mid",9.0, 54.0, 0.0, 0.05556, 0.5625, 4.214, 2.474, 0.4042, 0.03705
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 79.mid",16.0, 67.0, 0.0, 0.1639, 0.52, 2.982, 4.135, 0.13, 0.02355
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 790.mid",5.0, 53.0, 0.0, 0.4444, 0.4762, 2.75, 3.646, 0.2523, 0.02556
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 791.mid",5.0, 50.0, 0.0, 0.5143, 0.5517, 4.107, 4.765, 0.1239, 0.02745
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 792.mid",6.0, 52.0, 0.0, 0.1724, 0.5385, 4.52, 3.906, 0.18, 0.03336
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 794.mid",7.0, 63.0, 0.0, 0.0, 0.4667, 3.1, 3.175, 0.19, 0.02837
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 796.mid",18.0, 60.0, 0.0, 0.1282, 0.5, 3.658, 5.99, 0.1113, 0.02467
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 797.mid",12.0, 46.0, 0.0, 0.1364, 0.5, 5.059, 2.995, 0.2609, 0.02603
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 798.mid",10.0, 62.0, 0.0, 0.3913, 0.5455, 3.632, 3.226, 0.175, 0.03035
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 80.mid",20.0, 64.0, 0.0, 0.0, 0.5385, 2.015, 5.765, 0.1121, 0.01656
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 800.mid",12.0, 66.0, 0.0, 0.2, 0.25, 2.933, 2.743, 0.2731, 0.03588
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 801.mid",15.0, 61.0, 0.0, 0.0, 0.5517, 3.739, 4.167, 0.1471, 0.0245
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 802.mid",7.0, 76.0, 0.0, 0.1053, 0.4118, 3.933, 2.646, 0.288, 0.02914
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 803.mid",39.0, 48.0, 0.0, 0.0, 0.3307, 3.912, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 805.mid",39.0, 51.0, 0.0, 0.0, 0.3925, 3.408, 8.003, 0.1198, 0.02422
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 808.mid",24.0, 60.0, 0.0, 0.02581, 0.5461, 5.165, 4.875, 0.1918, 0.01866
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 81.mid",8.0, 42.0, 0.0, 0.0, 0.5122, 2.19, 4.571, 0.1226, 0.03033
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 812.mid",9.0, 39.0, 0.0, 0.25, 0.3889, 3.571, 3.333, 0.3, 0.02459
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 816.mid",8.0, 43.0, 0.0, 0.2857, 0.2727, 3.765, 2.933, 0.3304, 0.02691
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 819.mid",6.0, 41.0, 0.0, 0.2174, 0.4118, 3.05, 3.2, 0.3135, 0.02512
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 82.mid",10.0, 67.0, 0.0, 0.1935, 0.5263, 2.862, 4.2, 0.2176, 0.02442
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 820.mid",10.0, 41.0, 0.0, 0.1, 0.5, 2.867, 2.8, 0.3571, 0.02906
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 821.mid",6.0, 41.0, 0.0, 0.05882, 0.375, 2.857, 2.438, 0.2781, 0.02927
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 823.mid",12.0, 67.0, 0.0, 0.0, 0.6667, 2.4, 1.2, 0.8333, 0.05633
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 824.mid",12.0, 54.0, 0.0, 0.03704, 0.4737, 3.478, 3.733, 0.2194, 0.024
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 825.mid",9.0, 44.0, 0.0, 0.1905, 0.4615, 3.706, 2.936, 0.3406, 0.02585
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 827.mid",3.0, 42.0, 0.0, 0.1905, 0.375, 2.368, 3.129, 0.1172, 0.0245
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 828.mid",7.0, 38.0, 0.0, 0.2308, 0.4118, 3.348, 3.6, 0.2779, 0.02366
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 829.mid",8.0, 39.0, 0.0, 0.1111, 0.2857, 2.933, 2.533, 0.3947, 0.03802
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 83.mid",7.0, 58.0, 0.0, 0.1053, 0.5, 3.727, 2.603, 0.1926, 0.02549
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 831.mid",7.0, 38.0, 0.0, 0.0, 0.5714, 1.857, 2.438, 0.2734, 0.02379
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 832.mid",12.0, 47.0, 0.0, 0.0, 0.5135, 2.059, 5.067, 0.1974, 0.02346
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 834.mid",8.0, 42.0, 0.0, 0.2, 0.48, 3.952, 3.467, 0.2891, 0.02637
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 835.mid",7.0, 54.0, 0.0, 0.0, 0.5833, 2.105, 3.067, 0.3261, 0.02757
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 836.mid",13.0, 56.0, 0.0, 0.06452, 0.4839, 2.857, 4.267, 0.2419, 0.02334
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 837.mid",7.0, 46.0, 0.0, 0.0, 0.7143, 2.875, 2.667, 0.2972, 0.02879
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 838.mid",7.0, 44.0, 0.0, 0.0, 0.5, 3.0, 0.9333, 1.071, 0.04891
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 84.mid",5.0, 72.0, 0.0, 0.09333, 0.6087, 2.38, 5.087, 0.09586, 0.02363
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 840.mid",10.0, 45.0, 0.0, 0.1667, 0.3077, 2.762, 3.333, 0.2358, 0.02366
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 841.mid",7.0, 51.0, 0.0, 0.1176, 0.5714, 2.538, 2.4, 0.4102, 0.02993
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 842.mid",5.0, 53.0, 0.0, 0.2051, 0.6875, 3.657, 5.333, 0.1875, 0.0234
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 85.mid",12.0, 56.0, 0.0, 0.05085, 0.619, 3.519, 4.024, 0.134, 0.02339
