,Range,Mean_Pitch,Major_or_Minor,Chromatic_Motion,Direction_of_Melodic_Motion,Melodic_Pitch_Variety,Note_Density,Average_Note_Duration,Rhythmic_Variability
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 355.mid",0.0, 42.0, 0.0, 0.0, 0.0, 1.0, 3.683, 0.125, 0.02521
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 356.mid",1.0, 66.0, 0.0, 0.0625, 0.5, 1.032, 4.19, 0.125, 0.02709
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 357.mid",0.0, 51.0, 0.0, 0.0, 0.0, 1.0, 1.75, 0.3214, 0.03557
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 358.mid",5.0, 55.0, 0.0, 0.04, 0.5, 1.591, 3.25, 0.3077, 0.02687
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 359.mid",14.0, 56.0, 0.0, 0.07547, 0.5333, 1.479, 3.375, 0.3056, 0.02799
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 36.mid",3.0, 46.0, 0.0, 0.02703, 0.4615, 1.75, 2.672, 0.2463, 0.03586
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 360.mid",0.0, 55.0, 0.0, 0.0, 0.0, 1.0, 3.25, 0.1234, 0.02309
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 361.mid",0.0, 54.0, 0.0, 0.0, 0.0, 1.0, 3.625, 0.2414, 0.02062
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 362.mid",0.0, 60.0, 0.0, 0.0, 0.0, 1.0, 3.306, 0.1987, 0.03487
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 363.mid",0.0, 65.0, 0.0, 0.0, 0.0, 1.0, 4.076, 0.1372, 0.02649
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 364.mid",0.0, 43.0, 0.0, 0.0, 0.0, 1.0, 3.983, 0.1749, 0.02457
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 365.mid",0.0, 67.0, 0.0, 0.0, 0.0, 1.0, 2.794, 0.2386, 0.0295
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 366.mid",0.0, 39.0, 0.0, 0.0, 0.0, 1.0, 5.277, 0.131, 0.0245
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 367.mid",0.0, 69.0, 0.0, 0.0, 0.0, 1.0, 3.75, 0.2, 0.02595
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 368.mid",0.0, 48.0, 0.0, 0.0, 0.0, 1.0, 3.25, 0.2019, 0.02493
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 369.mid",0.0, 55.0, 0.0, 0.0, 0.0, 1.0, 4.063, 0.1875, 0.0261
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 37.mid",9.0, 63.0, 0.0, 0.1304, 0.3889, 4.8, 3.135, 0.1124, 0.0215
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 370.mid",46.0, 47.0, 0.0, 0.0, 0.3333, 3.958, 8.001, 0.1198, 0.02421
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 371.mid",46.0, 54.0, 0.0, 0.15, 0.15, 4.75, 1.812, 2.22, 0.04518
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 38.mid",17.0, 62.0, 0.0, 0.1186, 0.4074, 4.273, 4.013, 0.1074, 0.02152
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 389.mid",27.0, 53.0, 0.0, 0.0, 0.6383, 5.0, 6.506, 0.1123, 0.02352
"/mnt/c/Users/brkit/Desktop/TCC/midi-mate/Backend/./uploads/midi/single - 39.mid",3.0, 41.0, 0.0, 0.01205, 0.5385, 1.633, 5.618, 0.07423, 0.02728
